distance,mass,airframe,operator,time_slot,wind,route,altitude,landing_zone,on_time
6.78,0.53,FalconX,Cautious,Evening,W_8.8_0.1,"[-1, -1, 1, 1, 1, 1, 1]","[24, 24, 15, 13, 22]",LZ2,1
10.97,1.58,FalconX,Fast,Morning,E_1.4_3.3,"[1, 0, 0, 0, 0]","[22, 22, 16, 19, 21, 18, 24, 24]",LZ3,1
9.21,0.95,AeroX,Fast,Evening,N_4.4_2.4,"[0, -1, 0, 1, 1]","[21, 23, 13, 15, 15]",LZ2,1
6.53,1.67,AeroX,Fast,Afternoon,E_8.9_4.8,"[1, -1, 1, 1, -1, 0, -1]","[13, 21, 17, 12, 13, 12, 22, 23]",LZ1,1
12.63,1.3,SkyLift,Fast,Afternoon,N_1.5_0.5,"[0, -1, 0, 1, 1]","[13, 14, 19, 20, 21]",LZ1,1
3.65,0.63,SkyLift,Balanced,Evening,W_1.3_0.4,"[0, -1, 0, 0, -1, 1, -1, 1, -1]","[24, 21, 18, 13, 11, 20, 19, 16, 18]",LZ1,1
6.55,4.59,NanoFly,Cautious,Afternoon,E_6.9_0.9,"[-1, -1, 0, 1, 1, 0]","[13, 18, 21, 13, 21, 22, 14, 20]",LZ3,1
7.96,0.54,FalconX,Cautious,Afternoon,S_3.3_1.9,"[1, 1, 0, 0, -1, -1, -1]","[11, 16, 17, 18, 15]",LZ3,1
9.67,3.81,SkyLift,Fast,Morning,W_4.4_0.9,"[1, 1, 1, -1, -1, -1, 1, 1, 0]","[13, 18, 13, 12, 11, 21, 16, 22]",LZ3,1
15.92,1.18,NanoFly,Cautious,Morning,W_6.3_2.3,"[1, 0, 1, 0, 1, 0]","[15, 21, 13, 10, 18, 24, 10, 22]",LZ4,1
4.79,4.61,NanoFly,Balanced,Morning,W_3.8_1.7,"[-1, 0, 1, -1, 1, -1, 1, 1]","[12, 16, 10, 15, 21, 24, 10]",LZ1,1
10.77,4.52,AeroX,Fast,Morning,S_8.0_5.0,"[-1, -1, 0, 0, -1, 0, 0, -1, 1]","[22, 23, 23, 21, 21, 24, 20, 16]",LZ2,1
12.26,3.44,FalconX,Cautious,Morning,E_9.7_4.8,"[1, -1, 0, 0, -1, -1, -1, -1]","[10, 17, 23, 19, 15, 14, 15, 17]",LZ2,1
1.88,3.53,NanoFly,Cautious,Morning,W_9.3_1.8,"[-1, 0, -1, 1, -1, 0, -1]","[24, 22, 15, 18, 10, 11]",LZ2,1
12.54,0.52,AeroX,Cautious,Afternoon,E_5.5_4.0,"[0, 0, 1, -1, -1, 0, 1]","[14, 15, 12, 17, 15, 24, 18]",LZ2,1
4.24,4.93,NanoFly,Cautious,Afternoon,W_3.5_1.2,"[0, 1, 1, 1, -1, 0]","[22, 22, 10, 12, 13, 16, 11, 13]",LZ4,1
2.24,4.45,FalconX,Fast,Morning,W_4.3_0.3,"[-1, 1, -1, 0, -1, 0]","[23, 16, 18, 16, 13, 11, 16]",LZ2,1
19.03,4.53,NanoFly,Fast,Evening,W_3.3_0.2,"[-1, 0, 0, -1, -1, -1, -1, 0, 1]","[23, 16, 13, 16, 13, 21, 15]",LZ3,0
19.35,3.47,NanoFly,Balanced,Morning,S_4.4_0.1,"[1, 0, 1, -1, -1, 1, -1, 1]","[13, 16, 16, 18, 16]",LZ1,1
16.36,2.05,SkyLift,Fast,Afternoon,W_0.1_3.7,"[-1, 0, 1, 0, 1]","[15, 17, 18, 24, 11, 17]",LZ4,1
6.79,4.52,SkyLift,Cautious,Evening,E_0.6_1.7,"[-1, 0, -1, -1, 1, 0]","[14, 23, 19, 15, 10, 17, 24, 10, 20]",LZ3,1
2.86,1.81,AeroX,Cautious,Evening,W_7.7_4.1,"[-1, -1, 1, 1, -1, 1]","[10, 17, 20, 16, 23, 14, 15, 10, 19]",LZ2,1
14.0,3.03,NanoFly,Cautious,Evening,E_3.3_4.4,"[-1, 0, 1, 0, -1, 1, -1, 0]","[13, 22, 23, 23, 24, 24, 12, 24]",LZ3,1
9.36,0.95,AeroX,Balanced,Afternoon,E_7.9_1.5,"[0, 0, -1, 0, 0, 0, -1]","[15, 20, 19, 17, 24, 13, 16, 23, 18]",LZ4,1
3.32,4.65,FalconX,Fast,Evening,N_4.8_1.4,"[-1, 1, 1, -1, 1, 0]","[16, 23, 18, 20, 10, 21, 23]",LZ3,1
10.41,1.13,AeroX,Fast,Afternoon,E_8.1_1.5,"[-1, 0, 1, 1, -1, 1]","[13, 17, 17, 12, 21, 14, 22, 15, 23]",LZ1,1
1.65,1.51,NanoFly,Fast,Afternoon,N_6.6_2.4,"[1, 1, -1, -1, 0, 1, 1, -1]","[19, 23, 11, 12, 20]",LZ1,1
18.28,3.01,SkyLift,Cautious,Morning,S_2.0_0.1,"[0, 1, -1, 1, 0, 0, -1]","[20, 14, 19, 18, 21, 10]",LZ2,1
5.92,3.94,SkyLift,Cautious,Afternoon,W_4.5_0.1,"[1, 0, 0, -1, 0, -1]","[17, 14, 21, 18, 14, 23, 21, 15, 18]",LZ4,1
13.59,3.29,AeroX,Cautious,Evening,S_7.0_3.7,"[0, -1, 0, -1, 0, 0]","[19, 21, 15, 11, 21, 22, 14, 11, 17]",LZ2,0
6.92,1.54,SkyLift,Balanced,Afternoon,S_3.3_4.0,"[0, 0, -1, 0, -1, -1]","[12, 18, 10, 10, 18, 14, 21, 11]",LZ2,1
10.88,0.5,NanoFly,Balanced,Afternoon,E_1.9_1.0,"[0, -1, 1, 1, -1, 0]","[17, 14, 22, 10, 20, 23]",LZ2,1
11.39,3.91,NanoFly,Cautious,Morning,W_5.4_3.0,"[-1, 0, -1, 0, 0, -1]","[14, 23, 17, 19, 21]",LZ1,1
4.51,4.93,FalconX,Balanced,Morning,W_2.7_1.1,"[1, 1, 1, 1, 1, -1, 1, 0]","[12, 17, 10, 20, 10]",LZ3,1
19.42,4.14,SkyLift,Balanced,Afternoon,S_5.9_3.7,"[0, 1, 1, 1, 0]","[19, 23, 24, 21, 15, 11, 10]",LZ3,0
15.73,2.57,SkyLift,Balanced,Afternoon,N_2.7_2.1,"[1, 1, 1, 1, 1, 1, -1, 1]","[20, 19, 13, 16, 18, 21, 23, 14]",LZ4,1
18.85,4.57,FalconX,Fast,Afternoon,N_9.1_4.1,"[-1, 1, -1, 0, 0, -1, 1, 0]","[20, 21, 19, 21, 13, 10, 17]",LZ4,0
18.0,2.34,AeroX,Balanced,Morning,E_3.4_4.7,"[1, 0, -1, 1, -1, -1, 1, 0]","[12, 18, 21, 21, 20, 16, 10, 14]",LZ1,1
12.36,2.86,FalconX,Cautious,Morning,N_9.1_2.8,"[0, -1, 1, 1, 1, 0, -1, 1, -1]","[22, 20, 11, 19, 21, 13, 24, 20]",LZ3,0
18.52,2.65,SkyLift,Fast,Evening,N_2.8_4.5,"[1, -1, -1, 1, -1, 1, 0, -1, 1]","[24, 21, 16, 23, 11]",LZ4,1
2.68,2.51,AeroX,Balanced,Evening,S_6.0_0.2,"[-1, 1, -1, 0, -1, 1, -1, -1]","[23, 16, 18, 12, 23, 17, 13]",LZ4,1
4.72,3.99,NanoFly,Cautious,Evening,N_1.3_2.3,"[0, 0, -1, 0, 0, 1, 0, 0, 0]","[16, 20, 11, 16, 21, 16]",LZ4,1
1.86,2.87,NanoFly,Balanced,Evening,W_7.8_2.5,"[-1, 0, 1, 0, 1]","[18, 13, 19, 21, 16, 10, 15]",LZ2,1
7.18,1.93,FalconX,Cautious,Morning,S_2.0_2.1,"[1, 0, 1, 1, 1, 0, 1, 0]","[22, 13, 12, 14, 16, 13, 15, 13, 18]",LZ4,1
8.38,1.66,NanoFly,Cautious,Morning,S_8.6_1.6,"[0, -1, -1, 0, -1, 0, 0, 1, -1]","[13, 18, 18, 20, 20]",LZ2,1
6.16,0.67,SkyLift,Balanced,Afternoon,N_4.5_3.6,"[-1, -1, -1, -1, 0, -1]","[15, 11, 15, 20, 17, 10, 17, 20]",LZ1,1
16.75,3.12,FalconX,Balanced,Evening,W_0.9_2.8,"[1, -1, -1, 0, 0, 1, 1, -1, 0]","[19, 11, 23, 20, 18, 23, 16]",LZ1,0
7.78,1.53,SkyLift,Fast,Afternoon,W_3.6_0.4,"[0, 0, 0, 0, 1]","[19, 15, 23, 13, 12, 10, 16, 23, 21]",LZ2,1
6.34,1.17,SkyLift,Balanced,Afternoon,N_7.8_4.8,"[1, 1, -1, -1, 1, 1]","[10, 17, 16, 11, 21, 24, 18]",LZ4,1
11.31,3.44,AeroX,Cautious,Morning,W_0.8_4.4,"[1, 0, 0, 1, 1, 1, -1, -1]","[10, 17, 12, 13, 23]",LZ1,1
3.68,3.57,AeroX,Fast,Afternoon,E_6.3_1.8,"[0, 0, -1, 0, 0, 1, 1, -1]","[21, 14, 12, 13, 11, 10, 12]",LZ4,1
16.24,3.88,AeroX,Cautious,Afternoon,E_5.1_1.2,"[0, 1, 0, -1, 1, -1, 1]","[23, 16, 23, 17, 24, 21, 10, 22, 24]",LZ1,1
2.42,2.77,NanoFly,Cautious,Morning,N_3.1_3.1,"[1, -1, 1, 0, 1, 1, 0]","[12, 15, 18, 13, 16, 24]",LZ2,1
19.75,4.52,AeroX,Balanced,Morning,S_7.6_0.2,"[-1, 0, 1, 0, 0]","[11, 24, 11, 22, 16, 21, 16, 19, 24]",LZ1,0
15.67,4.71,SkyLift,Cautious,Morning,S_0.5_2.5,"[0, -1, -1, -1, 0, 1, -1]","[12, 10, 22, 23, 10, 12, 17]",LZ1,1
4.78,4.13,FalconX,Balanced,Morning,W_5.0_3.4,"[1, 1, -1, 0, -1, 0, 1, -1]","[23, 19, 18, 23, 20, 23, 10]",LZ4,1
1.1,3.36,FalconX,Cautious,Evening,E_5.1_2.0,"[0, 0, 1, -1, -1, -1, 0, 0, -1]","[16, 23, 17, 11, 14, 17, 15, 17, 15]",LZ3,1
16.49,1.87,SkyLift,Fast,Evening,S_0.9_4.9,"[-1, -1, 1, -1, -1, -1, -1]","[16, 11, 18, 11, 21, 21]",LZ4,1
14.43,4.92,NanoFly,Balanced,Evening,W_1.4_3.6,"[0, -1, 0, 0, 1, 0, -1, 1, 1]","[22, 10, 16, 24, 23, 12, 20]",LZ4,1
14.85,1.73,FalconX,Fast,Afternoon,E_4.1_4.7,"[-1, 1, 0, 1, 1, -1, -1, -1, 1]","[23, 24, 16, 10, 10]",LZ4,1
15.65,1.41,SkyLift,Balanced,Evening,S_5.4_4.5,"[1, -1, 1, 0, -1, 0, -1, -1, 1]","[14, 10, 24, 22, 19, 23]",LZ1,1
2.41,2.49,SkyLift,Fast,Morning,W_0.5_0.7,"[0, 0, 1, -1, -1]","[16, 12, 16, 16, 14, 13, 15]",LZ3,1
7.81,0.76,SkyLift,Balanced,Evening,N_0.1_3.3,"[-1, 0, 0, 0, 0, -1, -1, 0, -1]","[14, 23, 14, 16, 22, 23]",LZ3,1
3.2,4.9,FalconX,Fast,Morning,N_1.9_3.0,"[1, -1, -1, 0, 0, 1, -1]","[22, 16, 15, 16, 24, 21, 19, 21, 11]",LZ3,1
17.4,3.15,FalconX,Fast,Evening,S_4.9_0.3,"[0, -1, 0, 0, -1, 0, 1, 0, 1]","[13, 15, 12, 11, 19, 15, 16, 23]",LZ1,1
12.84,3.01,AeroX,Balanced,Evening,W_0.4_1.6,"[-1, -1, -1, -1, 0]","[15, 23, 11, 16, 13, 12, 14, 19]",LZ1,1
7.29,3.45,AeroX,Balanced,Morning,E_7.3_2.7,"[-1, -1, 1, 0, -1, -1, 0, 1, -1]","[10, 19, 13, 17, 24, 15]",LZ2,1
2.21,2.74,SkyLift,Cautious,Morning,N_1.5_2.7,"[0, -1, 0, -1, -1, -1, -1]","[22, 21, 18, 11, 23, 19, 14, 19]",LZ4,1
6.91,0.64,SkyLift,Cautious,Afternoon,E_7.7_4.1,"[1, -1, 0, 1, -1, 0, 0, -1, 1]","[17, 22, 24, 18, 21, 23]",LZ2,1
7.18,3.26,SkyLift,Balanced,Afternoon,W_2.0_2.9,"[-1, -1, -1, 1, 0, -1, 0, 0, 1]","[16, 19, 16, 12, 14, 18]",LZ3,1
14.86,3.72,SkyLift,Balanced,Afternoon,N_3.5_2.3,"[-1, 0, -1, -1, -1, 0]","[12, 21, 11, 10, 18, 24, 15]",LZ2,1
13.11,2.38,FalconX,Fast,Evening,S_4.8_3.8,"[0, 1, 1, 1, 0, 1, 1]","[10, 12, 22, 15, 22, 19, 17, 20, 20]",LZ4,1
17.86,3.91,AeroX,Fast,Evening,N_3.5_2.9,"[-1, 1, -1, 1, 0, -1, 1]","[22, 21, 24, 23, 14]",LZ2,0
9.97,1.52,NanoFly,Cautious,Morning,S_0.2_4.4,"[0, 1, 1, 1, 1]","[10, 24, 24, 11, 18, 17]",LZ2,1
3.27,1.5,SkyLift,Cautious,Morning,E_9.1_4.5,"[-1, -1, -1, 1, 1, 0, 0, -1]","[15, 16, 18, 12, 15]",LZ3,1
14.55,1.23,AeroX,Cautious,Afternoon,N_2.9_3.0,"[1, 0, -1, 1, 0, -1, -1]","[20, 11, 16, 18, 17]",LZ2,1
15.45,2.17,SkyLift,Fast,Morning,W_1.4_2.8,"[0, 1, 0, 1, 1]","[20, 20, 12, 10, 10, 15, 17, 23, 16]",LZ4,1
11.66,4.31,FalconX,Fast,Evening,E_1.3_3.5,"[-1, 1, -1, 0, 1, 0, 0]","[13, 11, 19, 14, 14, 22, 12]",LZ1,1
15.65,4.23,NanoFly,Fast,Morning,E_9.7_3.6,"[1, -1, -1, 1, 1]","[15, 15, 11, 17, 11]",LZ3,0
10.38,2.22,AeroX,Cautious,Morning,S_1.2_3.6,"[-1, -1, -1, -1, 1, -1, 1, -1, -1]","[15, 22, 10, 14, 19, 17]",LZ4,1
10.93,3.15,AeroX,Balanced,Morning,W_3.5_3.1,"[0, 0, -1, 1, 0, 0, 1]","[11, 23, 22, 20, 12, 20]",LZ3,1
9.12,3.74,NanoFly,Cautious,Morning,E_0.7_3.8,"[-1, -1, -1, 0, 1, 1]","[18, 19, 11, 15, 13]",LZ3,1
1.48,1.59,FalconX,Fast,Morning,N_7.4_0.7,"[-1, -1, -1, 0, -1, 0, -1, 1, 0]","[23, 14, 24, 22, 15, 13, 20]",LZ2,1
3.05,1.26,NanoFly,Cautious,Afternoon,S_6.0_4.1,"[1, 1, -1, 1, 1, 1, 0]","[16, 12, 17, 12, 22, 15]",LZ1,1
1.6,4.87,AeroX,Cautious,Afternoon,W_5.3_1.6,"[1, -1, 0, -1, 1, -1, -1, -1, -1]","[19, 19, 17, 22, 23, 17, 13, 16, 13]",LZ3,1
13.09,3.28,NanoFly,Cautious,Evening,S_8.6_4.4,"[0, 1, -1, -1, 1, 1, 1, 1, -1]","[21, 22, 12, 11, 12]",LZ3,1
6.97,4.92,FalconX,Cautious,Afternoon,S_5.7_0.7,"[0, 1, 0, -1, -1, -1, -1, 0, -1]","[24, 17, 15, 12, 23, 16, 18]",LZ4,1
10.66,2.02,FalconX,Fast,Morning,E_9.6_0.0,"[-1, 1, 0, 1, -1]","[13, 11, 16, 23, 20, 19, 10]",LZ2,1
18.24,3.66,SkyLift,Cautious,Afternoon,N_6.2_0.1,"[-1, 1, -1, -1, -1, 1, -1, 1]","[17, 23, 19, 21, 18, 21, 16, 14]",LZ1,1
5.74,1.5,NanoFly,Fast,Evening,N_3.5_1.1,"[0, -1, 0, -1, -1]","[12, 14, 10, 24, 20, 21]",LZ4,1
8.8,1.68,NanoFly,Cautious,Afternoon,W_0.4_0.6,"[-1, -1, 1, 1, 1]","[10, 17, 13, 23, 15, 15]",LZ3,1
15.36,2.8,AeroX,Fast,Evening,W_7.3_2.8,"[-1, -1, -1, 0, 0, 0]","[14, 10, 18, 16, 23, 14]",LZ3,0
5.35,1.94,FalconX,Balanced,Evening,N_3.7_2.2,"[0, 0, 0, 0, 1, -1, 0, 1]","[14, 17, 20, 22, 24, 22, 18]",LZ1,1
2.46,1.25,NanoFly,Fast,Evening,S_6.0_3.0,"[-1, 0, -1, 1, -1, 1, 1]","[13, 24, 17, 13, 11, 18, 17]",LZ2,1
6.51,1.68,AeroX,Fast,Morning,S_8.8_1.0,"[-1, 1, 0, -1, 0, 0, 0, 0, 1]","[16, 18, 19, 19, 18]",LZ1,1
4.06,0.66,SkyLift,Balanced,Evening,N_0.1_3.8,"[1, 0, -1, -1, 1, -1, 1]","[10, 18, 18, 22, 21, 24, 22]",LZ2,1
18.66,3.67,NanoFly,Balanced,Afternoon,E_7.6_3.1,"[1, -1, 1, 1, -1, 1]","[24, 23, 24, 14, 21, 18, 13]",LZ4,0
16.35,2.71,NanoFly,Balanced,Afternoon,S_4.4_1.1,"[1, -1, 1, 0, 1, -1, 0, 0]","[22, 24, 23, 11, 12]",LZ3,1
13.03,0.92,AeroX,Balanced,Afternoon,N_1.2_2.0,"[-1, 1, 0, 0, 0]","[11, 15, 12, 17, 15, 11]",LZ3,1
17.56,1.27,AeroX,Balanced,Evening,E_5.8_3.6,"[-1, 1, -1, 0, 1, 1, -1, 0]","[16, 14, 15, 15, 15, 15, 22]",LZ3,0
16.27,0.96,FalconX,Balanced,Evening,S_5.3_3.4,"[0, 1, 0, -1, 1, -1]","[15, 15, 13, 18, 15, 11]",LZ3,1
4.54,3.26,FalconX,Cautious,Morning,W_8.4_2.8,"[-1, 0, 1, -1, 1, 1, 0]","[13, 13, 18, 15, 20]",LZ1,1
17.96,0.92,FalconX,Cautious,Evening,S_5.2_4.9,"[1, -1, 0, 1, -1]","[19, 11, 23, 10, 13, 16]",LZ3,1
11.25,3.89,NanoFly,Balanced,Afternoon,S_8.3_0.7,"[1, 0, 1, 1, 0, 1, 0]","[20, 13, 18, 24, 19, 15, 14, 21]",LZ3,1
16.34,0.59,AeroX,Fast,Morning,N_5.4_2.4,"[-1, -1, 0, 0, 0, 0, 0, 0, 1]","[20, 12, 24, 23, 16, 12, 19]",LZ4,1
18.03,1.62,FalconX,Fast,Afternoon,S_4.5_3.1,"[0, 1, 1, 0, -1, 0, -1, -1, 0]","[13, 18, 11, 23, 19, 11]",LZ4,0
7.04,4.51,NanoFly,Balanced,Morning,S_3.7_5.0,"[-1, -1, 0, -1, -1, 1, 0, -1, 0]","[14, 14, 14, 18, 13]",LZ2,1
3.09,3.73,FalconX,Cautious,Evening,E_1.7_2.7,"[1, 1, -1, -1, -1, 0]","[17, 17, 21, 20, 22, 24]",LZ3,1
5.33,0.83,SkyLift,Cautious,Morning,N_5.8_2.2,"[1, 1, -1, 1, 0, -1, 1, -1]","[19, 24, 19, 19, 24]",LZ2,1
9.12,4.2,NanoFly,Fast,Evening,E_5.4_4.6,"[-1, -1, 1, 0, 0, -1]","[12, 18, 10, 18, 19]",LZ3,1
16.54,2.72,FalconX,Balanced,Evening,W_9.8_2.5,"[-1, -1, 0, -1, -1]","[24, 19, 12, 15, 14, 20, 24, 12]",LZ1,0
17.35,4.31,FalconX,Cautious,Afternoon,S_4.1_4.7,"[-1, 1, -1, 0, -1, 0, -1]","[17, 17, 19, 18, 20, 22, 19, 20]",LZ3,0
1.13,3.2,SkyLift,Balanced,Evening,N_4.2_3.8,"[0, 0, -1, 1, 0, 0, -1, 1]","[23, 12, 19, 23, 16, 18, 17]",LZ2,1
10.7,3.57,SkyLift,Balanced,Evening,W_1.6_0.8,"[-1, 0, -1, -1, 1, -1]","[14, 11, 18, 17, 10, 13]",LZ3,1
8.93,4.97,FalconX,Fast,Evening,N_6.0_0.8,"[1, -1, -1, 0, 1, 0, 1, 1]","[15, 10, 15, 20, 20, 15, 24, 23, 22]",LZ1,1
5.22,1.55,FalconX,Balanced,Afternoon,S_8.5_1.6,"[1, 0, -1, 0, 1, -1]","[23, 10, 24, 15, 22, 13, 21, 10, 20]",LZ4,1
3.28,3.31,AeroX,Balanced,Evening,N_2.5_0.3,"[-1, -1, 0, 0, -1, 1, 1, -1]","[20, 10, 22, 11, 23, 18]",LZ2,1
7.41,2.57,FalconX,Fast,Afternoon,N_0.1_2.7,"[1, 0, -1, 1, 1, 0]","[17, 24, 13, 10, 13, 19]",LZ1,1
18.92,0.68,FalconX,Cautious,Morning,E_6.9_4.3,"[-1, -1, 1, 0, 0, 1]","[17, 21, 10, 15, 19]",LZ1,1
7.14,0.57,AeroX,Balanced,Afternoon,N_0.3_2.0,"[0, 0, 0, 1, -1, -1]","[20, 23, 13, 24, 24, 15]",LZ1,1
10.86,1.04,AeroX,Fast,Afternoon,N_4.1_3.2,"[1, -1, 0, 1, -1, 0, -1, 1]","[19, 10, 17, 22, 22, 21]",LZ2,1
14.36,3.42,FalconX,Cautious,Evening,E_6.1_4.9,"[-1, -1, 1, 0, 1, -1, 1, -1, 0]","[15, 16, 22, 22, 13, 24, 13]",LZ4,1
7.91,3.05,AeroX,Balanced,Afternoon,S_3.9_1.0,"[-1, 1, -1, 1, 1, -1]","[11, 10, 16, 24, 10, 14]",LZ1,1
19.46,2.99,NanoFly,Cautious,Morning,W_2.6_1.8,"[-1, -1, -1, 0, 0, 1, 0]","[24, 21, 21, 18, 18, 10, 15, 23, 12]",LZ2,1
19.29,0.64,SkyLift,Fast,Afternoon,E_8.0_0.1,"[-1, 0, 1, -1, 1, 0, 0, -1, -1]","[17, 19, 15, 14, 15]",LZ2,0
5.78,2.61,NanoFly,Balanced,Evening,S_3.0_1.2,"[-1, 0, 0, -1, 1]","[18, 19, 15, 18, 15, 12, 24]",LZ3,1
10.45,4.66,SkyLift,Fast,Morning,S_1.8_3.9,"[-1, -1, -1, 1, -1, 0, 1, 0]","[11, 13, 10, 14, 21, 22, 16, 13]",LZ2,1
6.72,2.29,SkyLift,Fast,Evening,W_3.9_3.3,"[-1, 0, 1, 0, 1, -1, 1]","[19, 13, 12, 22, 11, 12, 18]",LZ1,1
6.41,3.31,FalconX,Balanced,Evening,S_1.3_3.9,"[0, 0, 0, 1, 1, 1]","[13, 18, 13, 22, 21, 19, 15]",LZ2,1
1.7,4.01,SkyLift,Fast,Afternoon,E_6.9_2.1,"[1, -1, 1, 1, 1, -1, 1, 1, 1]","[10, 16, 12, 15, 20, 19, 17, 17, 17]",LZ3,1
12.58,4.03,NanoFly,Cautious,Evening,S_7.1_3.7,"[0, 0, -1, 1, -1, 1]","[17, 11, 15, 21, 13, 20, 20]",LZ1,1
10.55,2.84,FalconX,Fast,Morning,W_0.1_3.0,"[0, 1, 0, 0, 1, -1, 0, 0, 1]","[14, 12, 14, 18, 12, 10]",LZ4,1
1.98,4.36,AeroX,Balanced,Morning,W_6.9_1.6,"[0, 0, -1, 1, 1]","[18, 24, 17, 10, 20, 19, 10]",LZ3,1
6.29,2.26,NanoFly,Balanced,Morning,E_3.0_2.1,"[1, 1, -1, 0, 0, -1, 1, 1, 0]","[24, 13, 13, 18, 21, 19, 19]",LZ2,1
18.26,4.5,FalconX,Cautious,Morning,E_6.6_2.7,"[0, 0, 1, 0, 0, -1, 1]","[13, 20, 11, 20, 19, 19, 14, 11]",LZ1,1
5.55,1.58,SkyLift,Balanced,Afternoon,S_7.1_4.8,"[1, 1, 1, 1, 0, -1, -1, 0, -1]","[10, 15, 18, 21, 23]",LZ1,1
3.75,1.76,NanoFly,Fast,Morning,W_2.8_4.7,"[-1, 1, 1, 1, 1, 0, 0, 0]","[14, 18, 13, 15, 12, 16, 13]",LZ1,1
10.3,0.74,SkyLift,Fast,Afternoon,W_1.9_4.9,"[1, -1, 1, 1, -1, -1, -1, 0, -1]","[24, 20, 20, 11, 11, 23, 15, 18]",LZ2,1
19.73,4.08,FalconX,Balanced,Evening,S_8.3_0.1,"[-1, 0, -1, 0, -1, 1]","[11, 17, 23, 16, 12]",LZ2,0
5.6,2.38,FalconX,Cautious,Evening,W_7.4_3.6,"[-1, -1, 1, 1, 0, 1, 0, -1]","[11, 17, 10, 18, 19, 17, 11, 22]",LZ2,1
13.77,1.53,AeroX,Cautious,Afternoon,E_8.4_4.5,"[0, -1, 0, -1, -1, 0, -1, 0, -1]","[16, 19, 21, 22, 12, 23, 20, 21, 22]",LZ3,1
15.47,1.54,AeroX,Balanced,Evening,E_4.4_3.7,"[1, 1, -1, 1, 0, 0]","[12, 13, 20, 19, 17, 13]",LZ3,1
5.52,4.56,NanoFly,Fast,Evening,S_4.6_2.1,"[1, -1, 1, 1, 1, -1, -1, 1, 0]","[22, 24, 14, 23, 19, 24, 20, 15, 20]",LZ3,1
14.84,4.25,AeroX,Balanced,Morning,S_3.4_3.6,"[1, 1, 0, 0, -1, 0]","[11, 13, 19, 24, 17, 18, 10, 18]",LZ4,0
7.99,2.99,SkyLift,Balanced,Evening,S_5.0_2.2,"[1, -1, 1, -1, 1, 0, 1, 1]","[22, 11, 10, 17, 24, 21]",LZ3,1
13.01,3.27,SkyLift,Cautious,Evening,E_6.5_3.6,"[0, 0, 1, 1, -1]","[12, 19, 24, 18, 20, 11, 14, 22]",LZ3,1
